 IJ      CONS     HOURS  EARNINGS    INCOME      PENS    ASSETS     CV(C)     CV(L)     CV(Y)     VALUE     IAMAX
  1     0.376     0.335     0.376     0.376     0.000     0.000     0.456     0.000     0.456   -54.125         0
  2     0.407     0.336     0.410     0.410     0.000     0.000     0.487     0.012     0.504   -53.314         0
  3     0.438     0.337     0.445     0.445     0.000     0.002     0.512     0.025     0.557   -52.531       112
  4     0.465     0.341     0.488     0.489     0.000     0.010     0.531     0.038     0.609   -51.769       128
  5     0.487     0.352     0.540     0.541     0.000     0.033     0.551     0.044     0.648   -51.016       137
  6     0.508     0.362     0.594     0.598     0.000     0.088     0.572     0.051     0.679   -50.255       144
  7     0.530     0.372     0.649     0.656     0.000     0.177     0.592     0.058     0.707   -49.477       150
  8     0.551     0.380     0.705     0.717     0.000     0.304     0.610     0.063     0.731   -48.685       155
  9     0.573     0.389     0.762     0.780     0.000     0.469     0.629     0.065     0.753   -47.879       159
 10     0.595     0.397     0.819     0.846     0.000     0.677     0.647     0.065     0.772   -47.061       163
 11     0.617     0.404     0.877     0.914     0.000     0.927     0.664     0.065     0.791   -46.227       167
 12     0.635     0.401     0.893     0.942     0.000     1.224     0.680     0.068     0.811   -45.379       169
 13     0.651     0.397     0.904     0.966     0.000     1.531     0.696     0.071     0.830   -44.532       172
 14     0.670     0.395     0.924     0.998     0.000     1.846     0.711     0.074     0.848   -43.687       175
 15     0.687     0.392     0.940     1.027     0.000     2.174     0.725     0.078     0.865   -42.840       177
 16     0.705     0.389     0.955     1.055     0.000     2.513     0.738     0.083     0.882   -41.991       179
 17     0.724     0.386     0.970     1.084     0.000     2.863     0.751     0.088     0.898   -41.143       181
 18     0.742     0.383     0.984     1.113     0.000     3.224     0.763     0.094     0.914   -40.296       182
 19     0.760     0.380     0.999     1.143     0.000     3.596     0.774     0.100     0.928   -39.450       184
 20     0.778     0.377     1.014     1.173     0.000     3.979     0.785     0.106     0.943   -38.603       186
 21     0.797     0.374     1.029     1.204     0.000     4.374     0.796     0.114     0.957   -37.757       187
 22     0.812     0.366     1.016     1.208     0.000     4.781     0.805     0.125     0.974   -36.909       188
 23     0.827     0.358     1.004     1.211     0.000     5.176     0.815     0.136     0.990   -36.068       189
 24     0.842     0.350     0.992     1.214     0.000     5.561     0.823     0.149     1.007   -35.236       190
 25     0.856     0.342     0.980     1.217     0.000     5.933     0.832     0.163     1.023   -34.410       191
