 IJ      CONS     HOURS  EARNINGS    INCOME      PENS    ASSETS     CV(C)     CV(L)     CV(Y)     IAMAX
  1     0.376     0.335     0.376     0.376     0.000     0.000     0.456     0.000     0.456         0
  2     0.407     0.336     0.410     0.410     0.000     0.000     0.487     0.012     0.504         0
  3     0.438     0.337     0.445     0.445     0.000     0.002     0.512     0.025     0.556       112
  4     0.465     0.341     0.488     0.489     0.000     0.010     0.531     0.038     0.609       128
  5     0.487     0.351     0.540     0.541     0.000     0.033     0.552     0.044     0.647       138
  6     0.508     0.362     0.594     0.597     0.000     0.087     0.572     0.051     0.679       145
  7     0.530     0.372     0.649     0.656     0.000     0.176     0.592     0.058     0.707       151
  8     0.552     0.380     0.704     0.716     0.000     0.302     0.611     0.063     0.731       156
  9     0.573     0.388     0.761     0.780     0.000     0.466     0.629     0.065     0.753       160
 10     0.595     0.396     0.819     0.846     0.000     0.673     0.647     0.065     0.773       164
 11     0.617     0.404     0.877     0.914     0.000     0.923     0.664     0.065     0.791       168
 12     0.635     0.401     0.893     0.942     0.000     1.219     0.681     0.068     0.811       171
 13     0.652     0.397     0.904     0.965     0.000     1.526     0.696     0.071     0.830       174
 14     0.670     0.395     0.924     0.998     0.000     1.840     0.711     0.074     0.848       176
 15     0.687     0.392     0.940     1.027     0.000     2.168     0.725     0.078     0.865       178
 16     0.706     0.389     0.955     1.055     0.000     2.507     0.738     0.083     0.882       180
 17     0.724     0.385     0.969     1.083     0.000     2.856     0.751     0.088     0.898       182
 18     0.742     0.382     0.984     1.112     0.000     3.216     0.762     0.093     0.914       184
 19     0.760     0.380     0.999     1.142     0.000     3.586     0.774     0.099     0.929       186
 20     0.778     0.377     1.015     1.174     0.000     3.968     0.786     0.106     0.942       187
 21     0.797     0.374     1.029     1.203     0.000     4.364     0.796     0.114     0.957       188
 22     0.812     0.365     1.015     1.206     0.000     4.771     0.805     0.125     0.974       189
 23     0.827     0.358     1.004     1.210     0.000     5.165     0.815     0.137     0.990       190
 24     0.842     0.349     0.991     1.213     0.000     5.548     0.824     0.149     1.007       191
 25     0.857     0.342     0.979     1.216     0.000     5.919     0.832     0.163     1.023       192
 26     0.871     0.334     0.967     1.218     0.000     6.278     0.840     0.177     1.040       193
 27     0.885     0.326     0.956     1.221     0.000     6.625     0.847     0.193     1.056       194
 28     0.898     0.319     0.945     1.224     0.000     6.961     0.854     0.209     1.072       195
 29     0.912     0.312     0.933     1.225     0.000     7.287     0.861     0.226     1.089       196
 30     0.926     0.304     0.922     1.226     0.000     7.600     0.866     0.243     1.108       197
 31     0.939     0.297     0.911     1.227     0.000     7.900     0.873     0.261     1.125       198
 32     0.950     0.288     0.890     1.217     0.000     8.188     0.878     0.281     1.146       199
 33     0.962     0.280     0.870     1.208     0.000     8.455     0.882     0.303     1.168       199
 34     0.972     0.271     0.850     1.198     0.000     8.701     0.887     0.327     1.189       200
 35     0.983     0.263     0.831     1.188     0.000     8.926     0.891     0.353     1.213       200
 36     0.993     0.254     0.812     1.177     0.000     9.131     0.894     0.382     1.239       200
 37     1.003     0.247     0.795     1.168     0.000     9.316     0.897     0.407     1.264       200
 38     1.012     0.239     0.779     1.158     0.000     9.480     0.900     0.437     1.292       200
 39     1.021     0.233     0.766     1.151     0.000     9.627     0.901     0.465     1.321       200
 40     1.029     0.227     0.754     1.144     0.000     9.757     0.902     0.494     1.351       200
 41     1.036     0.222     0.745     1.140     0.000     9.872     0.903     0.522     1.384       200
 42     1.032     0.204     0.679     1.078     0.000     9.976     0.903     0.577     1.445       200
 43     1.028     0.186     0.617     1.017     0.000    10.022     0.901     0.643     1.519       200
 44     1.022     0.169     0.559     0.960     0.000    10.012     0.899     0.715     1.609       200
 45     0.933     0.000     0.000     0.398     0.291     9.950     0.862     0.000     0.000       200
 46     0.940     0.000     0.000     0.388     0.291     9.706     0.861     0.000     0.000       200
 47     0.944     0.000     0.000     0.378     0.291     9.446     0.860     0.000     0.000       199
 48     0.949     0.000     0.000     0.367     0.291     9.170     0.860     0.000     0.000       199
 49     0.953     0.000     0.000     0.355     0.291     8.879     0.862     0.000     0.000       199
 50     0.956     0.000     0.000     0.343     0.291     8.572     0.865     0.000     0.000       199
 51     0.958     0.000     0.000     0.330     0.291     8.250     0.867     0.000     0.000       199
 52     0.955     0.000     0.000     0.317     0.291     7.914     0.870     0.000     0.000       199
 53     0.951     0.000     0.000     0.303     0.291     7.566     0.873     0.000     0.000       198
 54     0.943     0.000     0.000     0.288     0.291     7.208     0.875     0.000     0.000       198
 55     0.931     0.000     0.000     0.274     0.291     6.844     0.864     0.000     0.000       197
 56     0.925     0.000     0.000     0.259     0.291     6.478     0.850     0.000     0.000       196
 57     0.920     0.000     0.000     0.244     0.291     6.103     0.851     0.000     0.000       195
 58     0.914     0.000     0.000     0.229     0.291     5.718     0.854     0.000     0.000       194
 59     0.904     0.000     0.000     0.213     0.291     5.325     0.855     0.000     0.000       193
 60     0.892     0.000     0.000     0.197     0.291     4.924     0.859     0.000     0.000       192
 61     0.876     0.000     0.000     0.181     0.291     4.521     0.862     0.000     0.000       191
 62     0.856     0.000     0.000     0.165     0.291     4.117     0.864     0.000     0.000       190
 63     0.832     0.000     0.000     0.149     0.291     3.717     0.862     0.000     0.000       188
 64     0.805     0.000     0.000     0.133     0.291     3.325     0.847     0.000     0.000       187
 65     0.779     0.000     0.000     0.118     0.291     2.944     0.842     0.000     0.000       185
 66     0.751     0.000     0.000     0.103     0.291     2.574     0.845     0.000     0.000       183
 67     0.717     0.000     0.000     0.089     0.291     2.218     0.843     0.000     0.000       181
 68     0.681     0.000     0.000     0.075     0.291     1.880     0.833     0.000     0.000       179
 69     0.644     0.000     0.000     0.063     0.291     1.566     0.812     0.000     0.000       176
 70     0.604     0.000     0.000     0.051     0.291     1.276     0.801     0.000     0.000       173
 71     0.563     0.000     0.000     0.041     0.291     1.014     0.781     0.000     0.000       170
 72     0.521     0.000     0.000     0.031     0.291     0.783     0.747     0.000     0.000       167
 73     0.481     0.000     0.000     0.023     0.291     0.584     0.716     0.000     0.000       163
 74     0.441     0.000     0.000     0.017     0.291     0.418     0.667     0.000     0.000       159
 75     0.404     0.000     0.000     0.011     0.291     0.285     0.608     0.000     0.000       154
 76     0.372     0.000     0.000     0.007     0.291     0.184     0.536     0.000     0.000       148
 77     0.346     0.000     0.000     0.004     0.291     0.111     0.449     0.000     0.000       142
 78     0.326     0.000     0.000     0.002     0.291     0.060     0.354     0.000     0.000       134
 79     0.311     0.000     0.000     0.001     0.291     0.028     0.262     0.000     0.000       123
 80     0.301     0.000     0.000     0.000     0.291     0.009     0.178     0.000     0.000       107
--------------------------------------------------------------------
